M9_board,M9_center,M9_corner,M8_board,M8_center,M8_corner,M7_board,M7_center,M7_corner
305.15,305.15,310.15,305.15,305.15,310.15,305.15,305.15,310.15
311.4723098,305.1549895,310.3133095,310.952677,305.1544968,310.212326,310.7192877,305.1542417,310.212326
310.7019214,305.1726507,310.5502796,310.2318037,305.1703283,310.3265092,310.0118852,305.1691433,310.3265092
311.3946636,305.2102566,310.8154661,310.8350638,305.203991,310.4731165,310.5566935,305.2007872,310.4731165
312.1444866,305.2736355,311.1041431,311.5074091,305.2606579,310.6440614,311.1866694,305.2540115,310.6440614
312.908765,305.3718242,311.4233264,312.1929159,305.3483845,310.8401129,311.8299518,305.3363833,310.8401129
313.6715931,305.4988566,311.769525,312.8772742,305.4617759,311.0549324,312.4728804,305.4427813,311.0549324
314.4418496,305.6567849,312.142781,313.5680574,305.6026684,311.2901101,313.1221459,305.5750222,311.2901101
315.2203484,305.8450859,312.5409502,314.265844,305.7707113,311.5456801,313.7780094,305.7326628,311.5456801
316.0065984,306.0625643,312.9610116,314.9701192,305.9646108,311.8209457,314.4399328,305.9146761,311.8209457
316.7996116,306.3073572,313.3996747,315.679992,306.1828535,312.1147547,315.1070118,306.1194913,312.1147547
317.5980387,306.5773418,313.8537664,316.3942973,306.4235669,312.4256778,315.7781355,306.3453017,312.4256778
318.4003493,306.8703685,314.3203998,317.1117075,306.6847347,312.7521555,316.4520527,306.5903596,312.7521555
319.2049684,307.1842202,314.7970415,317.8308479,306.9644417,313.0925951,317.1274858,306.8528215,313.0925951
320.0103208,307.5167716,315.2815254,318.5503487,307.260784,313.4454366,317.80314,307.1309179,313.4454366
320.8149131,307.8660533,315.7720087,319.2689095,307.5720258,313.8091976,318.4778209,307.4229729,313.8091976
321.6173627,308.2302541,316.266955,319.9853165,307.8965078,314.1824969,319.1504086,307.7274398,314.1824969
322.416482,308.607621,316.7650779,320.6985277,308.2327062,314.5640608,319.8199225,308.0428336,314.5640608
323.211176,308.996597,317.2653121,321.407597,308.5792227,314.9527325,320.4854727,308.3679174,314.9527325
324.0004928,309.3957447,317.7667726,322.1116874,308.9347895,315.3474641,321.1462991,308.7014726,315.3474641
324.7836156,309.8037435,318.2687293,322.8100906,309.2982415,315.7473131,321.8017535,309.0424141,315.7473131
325.5598466,310.2194396,318.7705726,323.5022046,309.668547,316.1514335,322.4512439,309.3897478,316.1514335
