id,M9_solder_measurement,M9_board_measurement,M8_solder_measurement,M8_board_measurement,M7_solder_measurement,M7_board_measurement,M9_board_measurement_sm,M9_solder_measurement_sm,M8_board_measurement_sm,M8_solder_measurement_sm,M7_board_measurement_sm,M7_solder_measurement_sm,M9_solder_simulation,M9_board_simulation,M8_solder_simulation,M8_board_simulation,M7_solder_simulation,M7_board_simulation
1,27.5265,33.5422,25.3668,28.6445,24.8463,24.9664,33.7431479949046,27.7682082563879,29.3157012323817,25.2570822119446,25.4614214923799,24.9995537874026,32.0049895,38.3223098,32.0044968,37.802677,32.0042417,37.5692877
2,27.8061,34.257,25.607,29.4025,24.8463,24.9664,34.2647875554291,27.868191490883,29.713712496262,25.5510888539276,25.2091675600392,24.9351196590465,32.0049895,38.3223098,32.0044968,37.802677,32.0042417,37.5692877
3,28.0857,35.011,25.7671,29.9209,24.8463,24.9664,34.9019728259864,28.0102869318659,30.137103642066,25.8447551528404,25.0042448433854,24.8810236188482,32.0226507,37.5519214,32.0203283,37.0818037,32.0191433,36.8618852
4,28.3252,35.9231,26.0072,30.4788,24.8463,25.0064,35.6597834567101,28.1943754616269,30.5837288501241,26.1377142730615,24.8455141481551,24.8363677297278,32.0602566,38.2446636,32.053991,37.6850638,32.0507872,37.4066935
5,28.6046,37.0324,26.3272,31.9519,24.8463,25.0865,36.5432990977339,28.4203379624566,31.0514423007664,26.4295993789696,24.731836280085,24.8002540546048,32.1236355,38.9944866,32.1106579,38.3574091,32.1040115,38.0366694
6,28.8441,38.1801,26.6471,32.8269,24.9264,25.0865,37.5625036366846,28.688656253265,31.5392990205107,26.7194740529584,24.6639839053164,24.7719881590125,32.2218242,39.758765,32.1983845,39.0429159,32.1863833,38.6799518
7,29.1233,39.2477,26.927,32.8269,24.9264,25.0865,38.7083419111666,28.9997545668401,32.0521341946135,27.0079353401144,24.6450132510678,24.7535303948862,32.3488566,40.5215931,32.3117759,39.7272742,32.2927813,39.3228804
8,29.4424,39.9193,27.3266,32.7076,24.9664,25.0865,39.9573349962802,29.3534274062889,32.5964722415128,27.2969165988549,24.6772104646915,24.7479650047486,32.5067849,41.2918496,32.4526684,40.4180574,32.4250222,39.9721459
9,29.7216,40.709,27.7262,33.0653,24.9264,25.0865,41.2860039671254,29.7494692747186,33.1788375796466,27.5883511875972,24.7628616935395,24.7583762311226,32.6950859,42.0703484,32.6207113,41.115844,32.5826628,40.6280094
10,30.0007,41.3404,28.0857,33.6216,24.9264,25.0865,42.7490030073845,30.1859269864865,33.7688064159078,27.8782158779012,24.8926829311695,24.775324563451,32.9125643,42.8565984,32.8146108,41.8201192,32.7646761,41.2899328
11,30.4788,41.9713,28.3651,34.2173,24.8463,25.0865,44.3807075892262,30.6622883443387,34.3513963590909,28.163799478888,25.0617851384992,24.7934400646149,33.1573572,43.6496116,33.0328535,42.529992,32.9694913,41.9570118
12,31.0365,43.0353,28.6046,34.8523,24.9264,25.0865,46.1272207204802,31.1805093339654,34.9562939304855,28.4490034053175,25.279046913922,24.8219113372943,33.4273418,44.4480387,33.2735669,43.2442973,33.1953017,42.6281355
13,31.6734,45.3573,28.8441,35.5663,24.9664,25.2467,47.9346454089759,31.7425459410566,35.6131856513814,28.7377290719492,25.5533468558307,24.8699269841691,33.7203685,45.2503493,33.5347347,43.9617075,33.4403596,43.3020527
14,32.31,49.2834,29.1233,36.4779,24.9664,25.2867,49.7490846625431,32.3503541513025,36.3517580430682,29.0338778935428,25.8935635626187,24.9466756079195,34.0342202,46.0549684,33.8144417,44.6808479,33.7028215,43.9774858
15,33.0653,53.1596,29.3627,37.3887,24.9664,25.3668,51.7796931787498,33.0237383848223,37.0954945869259,29.3038565790125,26.3373225472255,25.0502460741388,34.3667716,46.8603208,34.110784,45.4003487,33.9809179,44.65314
16,33.7408,54.0979,29.5621,38.4966,24.9664,26.3672,54.0773181739002,33.762781258902,37.822554065758,29.5430008324581,26.8804092583778,25.1741625393227,34.7160533,47.6649131,34.4220258,46.1189095,34.2729729,45.3278209
17,34.5745,56.1292,29.8013,39.3267,25.2067,27.5265,56.3506014339285,34.5398560549824,38.64463595299,29.7986055614172,27.4689421981498,25.3207665425048,35.0802541,48.4673627,34.7465078,46.8353165,34.5774398,46.0004086
18,35.4077,60.8868,30.0804,40.0773,25.3267,28.3651,58.3081847447688,35.327336054504,39.6734397220471,30.1179656734275,28.0490398686154,25.4923996227182,35.457621,49.266482,35.0827062,47.5485277,34.8928336,46.6699225
19,36.1609,63.6903,30.3593,40.8669,25.4869,29.3627,59.9641513791666,36.149216304748,40.9662962295856,30.485139129343,28.6572679133801,25.7082678047645,35.846597,50.061176,35.4292227,48.257597,35.2179174,47.3354727
20,36.9532,62.6782,30.678,41.4587,25.8472,30.1601,61.5269283591748,37.0304760396724,42.4546441488208,30.862950877191,29.3422581410593,25.9714608288376,36.2457447,50.8504928,35.7847895,48.9616874,35.5514726,47.9962991
21,37.824,62.795,31.0763,42.4444,26.2472,30.2796,62.9966730946893,37.9449648207333,44.0613446780167,31.2668463052681,30.0682283012425,26.2601458070598,36.6537435,51.6336156,36.1482415,49.6600906,35.8924141,48.6517535
22,38.8524,65.519,31.5939,43.4292,26.6471,30.9569,64.3735429956058,38.8665322093872,45.7092590154373,31.7122708018711,30.7993961435189,26.5524898515534,37.0694396,52.4098466,36.518547,50.3522046,36.2397478,49.3012439
23,39.8008,65.2078,32.1907,45.5146,27.0069,31.3948,65.6576954718202,39.7690277670902,47.3212483593465,32.2146697552968,31.4999794174779,26.8266600744404,37.4917883,53.1786053,36.8947429,51.0375153,36.5926272,49.94431
24,40.7485,64.274,32.7473,49.0873,27.3266,32.0713,66.7302094862407,40.6775758805474,49.0987092289655,32.7859798044918,32.1257966861078,27.0905264449311,37.9198181,53.939405,37.275982,51.7156052,36.9502384,50.5805782
25,41.6164,66.3746,33.3832,52.4947,27.5664,32.5883,67.5773448027136,41.6166952403934,51.1236328818279,33.4137868891449,32.7014305663451,27.3641424027232,38.3526797,54.6918487,37.6615038,52.3861292,37.3118643,51.2096908
26,42.6414,68.3574,34.0982,53.2769,27.8061,33.2243,68.3570300325413,42.5593268639781,53.1397726236664,34.0770103486662,33.2942448887015,27.6439502656702,38.7896016,55.4356158,38.0506247,53.0488132,37.6768705,51.8314183
27,43.5079,68.0465,34.773,55.2311,28.0058,33.9791,69.2271937870264,43.478411768652,54.8908817602138,34.7545695224656,33.9716034836886,27.9263923516257,39.2298989,56.1704514,38.4427295,53.7034363,38.04468,52.4455386
