,Experiment1,Experiment2,Experiment3,BO
0,56.859287,56.5469,56.704174,59.731903
1,85.68447,85.85212,85.85022,87.98078
2,114.89582,114.23254,114.18952,116.89415
3,134.9721,143.33916,143.51035,151.31288
4,174.00632,179.74313,179.91187,192.94331
5,200.0545,209.53076,209.78635,222.31435
6,208.8449,215.85968,216.0654,228.5148
7,215.47867,222.8336,223.18382,235.13281
8,223.54039,231.52351,231.99269,240.36409
9,230.65416,238.03738,238.55273,244.39304
10,228.79417,235.46028,236.00604,240.16957
11,222.06879,226.42874,226.86797,230.42351
12,215.86711,220.08844,220.33687,221.69254
13,204.551,210.55219,211.05066,213.04027
14,195.57472,200.63742,201.01936,202.52574
